PARAMETERNAMN,PROV_BERED,PROVKARL,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,LABB
"Perfluortetradekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorpentadekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorbutansulfonsyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorhexansulfonsyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorhexansulfonsyra, grenad",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluoroktansulfonsyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluoroktansulfonsyra, grenad",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluordekansulfonsyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluordekansulfonsyra, grenad",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluoroktansulfonamid, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluoroktansulfonamid, grenad",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
Kvot av stabila isotoperna C-13 och C-12,FRYSTO_TENNKAP,PLAST,EA-IRMS,Nej,EA-IRMS,ACES
"Kol, totalt",FRYSTO_TENNKAP,PLAST,EA-IRMS,Nej,EA-IRMS,ACES
Kvot av stabila isotoperna N-15 och N-14,FRYSTO_TENNKAP,PLAST,EA-IRMS,Nej,EA-IRMS,ACES
"Kväve, totalt",FRYSTO_TENNKAP,PLAST,EA-IRMS,Nej,EA-IRMS,ACES
